,profession_id,name,prof_area_id
0,1,Банковское ПО,1
1,2,Оптимизация сайта (SEO),1
2,3,Администратор баз данных,1
3,4,Стартапы,1
4,5,Игровое ПО,1
5,6,CRM системы,1
6,7,"CTO, CIO, Директор по IT",1
7,8,Web инженер,1
8,9,Web мастер,1
9,10,Аналитик,1
10,11,Арт-директор,1
11,12,Системы управления предприятием (ERP),1
12,13,Инженер,1
13,14,Интернет,1
14,15,Компьютерная безопасность,1
15,16,"Консалтинг, Аутсорсинг",1
16,17,Контент,1
17,18,Тестирование,1
18,19,Маркетинг,1
19,20,Мультимедиа,1
20,21,"Начальный уровень, Мало опыта",1
21,22,Передача данных и доступ в интернет,1
22,23,"Поддержка, Helpdesk",1
23,24,"Программирование, Разработка",1
24,25,Продажи,1
25,26,Продюсер,1
26,27,Развитие бизнеса,1
27,28,Сетевые технологии,1
28,29,Системная интеграция,1
29,30,Системный администратор,1
30,31,Системы автоматизированного проектирования,1
31,32,"Сотовые, Беспроводные технологии",1
32,33,Телекоммуникации,1
33,34,Технический писатель,1
34,35,Управление проектами,1
35,36,Электронная коммерция,1
36,37,Экономист,2
37,38,Планово-экономическое управление,2
38,39,"МСФО, IFRS",2
39,40,Бухгалтер-калькулятор,2
40,41,Основные средства,2
41,42,GAAP,2
42,43,ACCA,2
43,44,ТМЦ,2
44,45,Первичная документация,2
45,46,CIPA,2
46,47,Аудит,2
47,48,Бухгалтер,2
48,49,Бюджетирование и планирование,2
49,50,Валютный контроль,2
50,51,Казначейство,2
51,52,"Кассир, Инкассатор",2
52,53,Кредитный контроль,2
53,54,Налоги,2
54,55,"Начальный уровень, Мало опыта",2
55,56,Оффшоры,2
56,57,Расчет себестоимости,2
57,58,Руководство бухгалтерией,2
58,59,Учет заработной платы,2
59,60,Учет счетов и платежей,2
60,61,Финансовый анализ,2
61,62,Финансовый контроль,2
62,63,Финансовый менеджмент,2
63,64,Ценные бумаги,2
64,65,Ассистент,3
65,66,Тайный покупатель,3
66,67,"Проведение опросов, Интервьюер",3
67,68,Промоутер,3
68,69,Below The Line (BTL),3
69,70,"PR, Маркетинговые коммуникации",3
70,71,Аналитик,3
71,72,Арт директор,3
72,73,Бренд-менеджмент,3
73,74,Верстальщик,3
74,75,Дизайнер,3
75,76,Интернет-маркетинг,3
76,77,Исследования рынка,3
77,78,Консультант,3
78,79,Копирайтер,3
79,80,Менеджер по работе с клиентами,3
80,81,Менеджмент продукта (Product manager),3
81,82,Мерчендайзинг,3
82,83,Наружная реклама,3
83,84,Начальный уровень/Мало опыта,3
84,85,Печатная реклама,3
85,86,"Планирование, Размещение рекламы",3
86,87,Политический PR,3
87,88,"Продвижение, Специальные мероприятия",3
88,89,Производство рекламы,3
89,90,Радио реклама,3
90,91,Рекламный агент,3
91,92,Телевизионная реклама,3
92,93,Торговый маркетинг(Trade marketing),3
93,94,Управление маркетингом,3
94,95,Управление проектами,3
95,96,Последовательный перевод,4
96,97,Делопроизводство,4
97,98,Вечерний секретарь,4
98,99,Уборщица,4
99,100,Архивист,4
100,101,Ввод данных,4
101,102,Водитель,4
102,103,Курьер,4
103,104,"Начальный уровень, Мало опыта",4
104,105,Персональный ассистент,4
105,106,Письменный перевод,4
106,107,Ресепшен,4
107,108,Секретарь,4
108,109,Синхронный перевод,4
109,110,Сотрудник call-центра,4
110,111,Управляющий офисом(Оffice manager),4
111,112,Учет товарооборота,4
112,113,АХО,4
113,114,"Ипотека, Ипотечное кредитование",5
114,115,Паевые фонды,5
115,116,Экономист,5
116,117,Финансовый мониторинг,5
117,118,Кредитование малого и среднего бизнеса,5
118,119,Риски: операционные,5
119,120,Риски: финансовые,5
120,121,Риски: рыночные,5
